PERMIS;ACV;SEX;STATUT;CSP;USAGE;AGECOND;K8000;RM;CAR;CLA;ALI;ENE;VIT;SEGM;GARAGE;CHARGE
339;9;F;A;50;2;47;N;53;BER;F;INJ;ES;170-180;B;3;0
203;4;F;A;50;2;36;N;50;BER;F;INJ;GO;160-170;B;3;0
159;9;F;A;50;2;32;N;71;BER;F;INS;GO;160-170;B;3;4326
432;10;F;A;55;2;55;N;50;BER;F;CAR;ES;140-150;M1;3;0
48;10;F;A;55;2;33;N;100;BER;F;CAR;ES;150-160;B;3;0
474;5;F;A;55;2;60;O;50;BER;F;INJ;ES;160-170;B;3;0
176;1;F;A;55;2;35;N;76;BER;F;INJ;ES;180-190;B;2;0
505;10;F;A;60;1;70;O;50;BER;F;CAR;ES;160-170;M1;2;0
585;7;F;A;60;1;68;N;50;BER;F;INJ;ES;140-150;B;3;0
481;2;F;A;60;1;63;N;85;BER;F;INJ;ES;160-170;B;3;0
589;7;F;A;60;1;74;N;50;BER;F;INJ;ES;160-170;B;3;0
523;1;F;A;60;1;75;O;50;BER;F;INJ;ES;160-170;B;3;0
326;7;F;A;77;3;46;N;50;BER;F;INJ;ES;150-160;B;3;0
120;1;F;C;1;2;28;N;95;BER;F;INJ;ES;150-160;B;3;0
373;3;F;C;40;2;52;O;50;BER;F;INJ;ES;160-170;B;2;0
53;10;F;C;50;2;25;N;95;BER;F;CAR;ES;170-180;M1;2;0
23;10;F;C;50;2;31;N;95;BER;F;CAR;ES;180-190;B;3;0
99;0;F;C;50;3;28;N;90;BER;F;INJ;ES;160-170;B;3;0
123;4;F;C;50;2;29;N;76;BER;F;INJ;ES;160-170;B;3;0
165;4;F;C;50;2;31;N;50;BER;F;INJ;ES;160-170;B;3;0
198;3;F;C;50;2;35;N;60;BER;F;INJ;ES;160-170;B;3;0
452;0;F;C;50;2;57;N;50;BER;F;INJ;ES;160-170;B;3;0
146;10;F;C;50;2;30;N;95;BER;F;INJ;ES;170-180;B;3;0
406;10;F;C;50;2;53;O;54;BER;F;INJ;ES;180-190;B;3;0
160;7;F;C;50;2;34;N;50;BER;F;INJ;GO;150-160;B;3;0
497;0;F;C;55;2;59;N;50;BER;F;INJ;ES;170-180;B;3;353
309;9;F;C;55;2;47;N;50;BER;F;INJ;GO;150-160;B;3;0
418;4;F;C;55;1;53;N;95;BER;F;INJ;GO;150-160;B;3;0
649;3;F;C;60;1;73;O;132;BER;F;INJ;ES;160-170;B;3;0
431;2;F;A;1;4;55;N;50;BER;F;INJ;ES;150-160;B;3;319
459;3;F;A;1;3;56;N;85;BER;F;INJ;ES;150-160;B;3;3675
208;10;F;A;50;2;35;N;72;BER;F;CAR;ES;150-160;M1;1;0
331;10;F;A;50;1;47;O;50;BER;F;CAR;ES;150-160;B;3;0
154;10;F;A;50;1;38;N;118;BER;F;CAR;ES;170-180;B;3;0
251;4;F;A;50;1;42;N;80;BER;F;INJ;ES;140-150;A;3;1319
62;3;F;A;50;2;23;N;76;BER;F;INJ;ES;150-160;B;3;0
84;3;F;A;50;1;30;N;100;BER;F;INJ;ES;150-160;B;3;0
142;7;F;A;50;2;32;N;90;BER;F;INJ;ES;150-160;B;3;0
196;7;F;A;50;1;35;O;50;BER;F;INJ;ES;150-160;B;1;294
356;7;F;A;50;2;50;N;50;BER;F;INJ;ES;150-160;B;3;0
387;9;F;A;50;2;51;N;50;BER;F;INJ;ES;150-160;B;3;100
300;5;F;A;50;2;54;N;50;BER;F;INJ;ES;150-160;A;1;0
436;1;F;A;50;2;55;N;50;BER;F;INJ;ES;150-160;B;3;0
164;4;F;A;50;2;31;N;95;BER;F;INJ;ES;160-170;B;3;0
321;5;F;A;50;2;45;N;50;BER;F;INJ;ES;160-170;B;3;1476
355;2;F;A;50;2;48;N;50;BER;F;INJ;ES;160-170;B;3;0
325;1;F;A;50;1;53;N;125;BER;F;INJ;ES;160-170;A;3;4326
361;0;F;A;50;2;53;N;50;BER;F;INJ;ES;160-170;A;3;1562
354;0;F;A;50;2;57;O;50;BER;F;INJ;ES;160-170;B;2;0
601;3;F;A;50;2;73;N;53;BER;F;INJ;ES;160-170;B;3;0
287;2;F;A;50;3;50;N;58;BER;F;INJ;ES;170-180;A;3;142
366;3;F;A;50;1;54;O;55;BER;F;INJ;ES;170-180;B;3;0
454;4;F;A;50;2;56;N;50;BER;F;INJ;ES;170-180;A;3;0
274;1;F;A;50;2;40;N;50;BER;F;INJ;GO;150-160;B;3;0
215;10;F;A;50;1;47;O;76;BER;F;INJ;GO;150-160;B;3;28
234;3;F;A;50;2;40;N;53;BER;F;INJ;GO;160-170;B;3;5380
519;5;F;A;60;1;63;O;50;BER;F;INJ;ES;140-150;A;3;0
490;5;F;A;60;1;59;N;50;BER;F;INJ;ES;150-160;B;3;0
556;4;F;A;60;1;70;N;76;BER;F;INJ;ES;160-170;B;3;0
484;1;F;A;60;1;74;N;64;BER;F;INJ;ES;160-170;B;3;0
641;3;F;A;60;1;75;N;50;BER;F;INJ;ES;160-170;B;3;0
580;2;F;A;60;1;87;O;50;BER;F;INJ;ES;160-170;B;3;21735
639;3;F;A;60;1;79;N;50;BER;F;INJ;ES;170-180;A;1;1130
617;3;F;A;60;1;81;O;76;BER;F;INJ;ES;170-180;B;3;0
377;2;F;A;60;1;83;N;52;BER;F;INJ;ES;170-180;B;3;0
536;5;F;A;60;1;64;N;50;BER;F;INJ;ES;180-190;B;3;0
12;10;F;C;26;2;22;N;95;BER;F;CAR;ES;170-180;B;2;0
107;2;F;C;26;2;28;N;118;BER;F;INJ;ES;160-170;A;2;1418
52;7;F;C;26;2;23;N;90;BER;F;INJ;ES;170-180;B;3;1506
61;5;F;C;50;1;25;N;95;BER;F;INJ;ES;150-160;B;3;0
504;3;F;C;60;1;66;N;68;BER;F;INJ;ES;150-160;B;3;0
245;7;F;A;37;1;78;N;58;BER;F;INJ;ES;170-180;B;3;0
379;7;F;A;42;4;54;N;50;BER;F;INJ;ES;150-160;B;3;0
192;10;F;A;50;1;35;N;60;BER;F;CAR;ES;150-160;M1;3;0
482;10;F;A;50;2;64;N;50;BER;F;CAR;ES;150-160;B;3;0
120;10;F;A;50;2;49;N;90;BER;F;CAR;ES;170-180;B;3;0
271;9;F;A;50;2;40;N;57;BER;F;INJ;ES;140-150;B;3;0
208;7;F;A;50;2;36;N;57;BER;F;INJ;ES;150-160;B;3;0
241;10;F;A;50;2;42;N;90;BER;F;INJ;ES;150-160;B;3;0
394;2;F;A;50;2;52;N;90;BER;F;INJ;ES;150-160;B;3;0
453;5;F;A;50;4;57;N;50;BER;F;INJ;ES;160-170;B;3;0
169;9;F;A;50;3;32;N;64;BER;F;INJ;ES;170-180;B;3;0
370;1;F;A;50;2;51;N;50;BER;F;IDS;GO;160-170;B;1;0
136;7;F;A;55;2;34;N;57;BER;F;INJ;ES;150-160;M1;3;0
268;3;F;A;55;2;59;N;50;BER;F;INJ;ES;160-170;B;3;0
569;3;F;A;60;1;72;O;50;BER;F;INJ;ES;150-160;B;3;1532
535;3;F;A;60;1;73;N;90;BER;F;INJ;ES;160-170;B;2;0
702;5;F;A;60;1;82;O;50;BER;F;INJ;ES;160-170;B;3;0
540;1;F;A;66;3;64;N;50;BER;F;INJ;ES;160-170;A;3;0
41;2;F;C;26;2;22;N;90;BER;F;INJ;ES;160-170;A;3;0
565;10;F;C;50;2;65;N;50;BER;F;CAR;ES;150-160;0;3;0
37;10;F;C;50;1;32;N;90;BER;F;CAR;ES;170-180;B;3;0
379;3;F;C;50;2;57;N;50;BER;F;INJ;ES;140-150;A;3;0
63;4;F;C;50;2;24;O;76;BER;F;INJ;ES;150-160;M1;1;4241
156;1;F;C;50;2;40;O;85;BER;F;INJ;ES;150-160;B;3;0
102;5;F;C;50;2;30;N;90;BER;F;INJ;ES;160-170;B;3;0
498;0;F;C;50;2;65;N;50;BER;F;INJ;ES;160-170;B;3;0
517;3;F;C;55;2;65;N;50;BER;F;INJ;ES;170-180;A;3;0
137;7;F;A;37;1;39;N;72;BER;F;INJ;GO;150-160;B;3;0
345;10;F;A;50;2;60;N;50;BER;F;CAR;ES;150-160;B;3;0
133;2;F;A;50;2;30;N;80;BER;F;INJ;ES;150-160;B;3;0
217;4;F;A;50;1;50;O;85;BER;F;INJ;ES;150-160;B;3;0
32;9;F;A;50;1;25;N;90;BER;F;INJ;ES;160-170;B;3;0
292;0;F;A;50;2;43;N;50;BER;F;INJ;ES;160-170;B;3;98
393;3;F;A;50;2;51;N;118;BER;F;INJ;ES;160-170;B;3;1562
101;10;F;A;50;2;30;O;90;BER;F;INJ;GO;140-150;B;3;0
299;10;F;A;55;1;60;N;95;BER;F;CAR;ES;150-160;M1;2;0
273;3;F;C;1;3;42;N;95;BER;F;INJ;ES;170-180;B;3;0
24;1;F;C;26;2;21;N;95;BER;F;INJ;ES;160-170;B;3;2834
152;10;F;C;50;3;30;N;64;BER;F;CAR;ES;170-180;M1;3;0
202;10;F;C;50;2;38;N;50;BER;F;CAR;ES;170-180;B;3;0
135;7;F;C;50;1;29;O;64;BER;F;INJ;ES;140-150;A;3;0
75;2;F;C;50;3;25;N;95;BER;F;INJ;ES;160-170;B;2;1528
109;7;F;C;50;2;28;N;85;BER;F;INJ;ES;160-170;B;3;0
171;9;F;C;50;1;35;N;118;BER;F;INJ;ES;170-180;B;3;0
197;10;F;C;50;2;43;N;50;BER;F;INJ;GO;150-160;B;3;0
156;9;F;C;50;1;31;N;95;BER;F;INJ;GO;160-170;M1;3;0
233;9;F;C;55;2;39;N;50;BER;F;INJ;GO;150-160;B;3;0
25;10;F;A;50;1;29;N;90;BER;F;CAR;ES;160-170;B;3;0
52;7;F;A;50;2;31;N;95;BER;F;INJ;ES;140-150;A;1;0
132;4;F;A;50;2;29;N;90;BER;F;INJ;ES;150-160;B;3;0
149;5;F;A;50;1;32;N;118;BER;F;INJ;ES;150-160;B;3;0
25;4;F;A;50;2;35;N;95;BER;F;INJ;ES;150-160;B;3;0
111;9;F;A;50;1;27;N;90;BER;F;INJ;ES;160-170;M1;3;0
143;9;F;A;50;1;49;O;76;BER;F;INJ;ES;160-170;B;2;0
138;1;F;A;55;2;44;N;90;BER;F;INJ;ES;150-160;B;3;0
419;5;F;A;55;2;56;N;80;BER;F;INJ;ES;160-170;B;3;0
549;1;F;A;60;1;68;N;50;BER;F;INJ;ES;160-170;B;3;0
573;2;F;A;60;1;78;O;50;BER;F;INJ;ES;160-170;A;1;0
31;10;F;C;50;1;32;N;90;BER;F;CAR;ES;160-170;M1;3;0
138;3;F;C;50;2;35;N;64;BER;F;INJ;ES;150-160;B;3;0
525;7;F;C;55;2;65;N;50;BER;F;CAR;ES;150-160;B;3;2120
180;7;F;C;55;1;33;N;90;BER;F;INJ;ES;160-170;B;2;0
417;3;F;C;55;2;55;N;50;BER;F;INJ;ES;160-170;B;3;0
637;4;F;C;60;1;78;O;50;BER;F;INJ;ES;150-160;B;2;0
318;10;F;A;50;2;51;O;50;BER;F;CAR;ES;160-170;M1;3;0
226;5;F;A;50;1;53;N;54;BER;F;INJ;ES;150-160;B;2;0
127;10;F;A;50;2;41;N;90;BER;F;INJ;GO;150-160;B;3;0
200;5;F;A;55;2;36;N;76;BER;F;INJ;ES;150-160;B;3;0
458;5;F;A;55;2;57;N;50;BER;F;INJ;ES;160-170;B;3;0
497;10;F;A;60;1;74;O;50;BER;F;CAR;ES;150-160;M2;3;0
413;3;F;A;60;1;64;O;50;BER;F;INJ;ES;160-170;B;3;0
586;2;F;A;60;1;74;N;55;BER;F;INJ;ES;160-170;B;3;0
471;5;F;A;60;1;71;O;50;BER;F;INJ;ES;170-180;B;3;0
75;5;F;A;66;3;47;N;72;BER;F;INJ;ES;160-170;B;3;0
44;9;F;C;26;2;24;N;95;BER;F;INJ;ES;170-180;B;3;0
22;10;F;C;50;2;23;N;95;BER;F;CAR;ES;140-150;M1;3;0
24;10;F;C;50;2;26;N;90;BER;F;CAR;ES;160-170;M1;3;0
196;10;F;C;50;3;37;N;71;BER;F;CAR;ES;160-170;M1;3;0
129;2;F;C;50;2;31;O;54;BER;F;INJ;ES;160-170;B;2;0
129;9;F;C;50;1;46;N;90;BER;F;INJ;ES;160-170;M1;3;0
113;9;F;C;50;2;28;N;95;BER;F;INJ;GO;150-160;B;2;0
103;10;F;C;55;2;26;N;64;BER;F;CAR;ES;150-160;M1;3;0
98;7;F;C;55;2;29;O;64;BER;F;INJ;ES;150-160;M1;2;0
197;4;F;C;55;2;34;N;90;BER;F;INJ;ES;150-160;B;3;0
439;10;F;C;60;1;69;O;50;BER;F;INJ;ES;170-180;M1;3;0
275;10;M;A;49;4;41;N;86;BER;F;CAR;ES;170-180;M1;3;0
149;3;M;A;50;3;31;N;76;BER;F;INJ;ES;160-170;B;1;0
145;3;M;C;50;1;30;N;81;BER;F;INJ;ES;160-170;B;1;0
149;5;M;A;55;2;38;N;68;BER;F;INJ;GO;130-140;M1;3;0
132;7;M;C;26;2;31;O;72;BER;F;INJ;ES;160-170;B;1;0
290;10;M;A;50;2;42;N;50;BER;F;INJ;ES;170-180;B;3;0
363;10;M;A;60;1;57;N;50;BER;F;CAR;ES;170-180;B;3;0
696;7;M;A;60;1;85;N;50;BER;F;INJ;ES;140-150;A;3;396
323;10;M;C;48;1;45;N;53;BER;F;INJ;ES;170-180;B;3;0
53;4;M;C;50;2;26;N;139;BER;F;INJ;ES;160-170;B;3;0
184;10;M;A;50;2;37;N;95;BER;F;CAR;ES;170-180;M1;3;0
232;10;M;A;50;2;44;N;69;BER;F;CAR;ES;170-180;M1;3;0
373;10;M;A;50;2;49;N;50;BER;F;INJ;ES;170-180;A;3;0
240;10;M;A;50;2;38;N;50;BER;F;INJ;GO;160-170;B;3;0
411;7;M;A;50;2;57;N;50;BER;F;INJ;ES;150-160;B;3;0
103;9;M;A;50;1;27;O;90;BER;F;INJ;ES;160-170;B;3;0
687;5;M;A;60;1;76;N;59;BER;F;INJ;ES;160-170;B;3;0
118;9;M;C;26;2;28;N;80;BER;F;INJ;ES;160-170;M1;3;0
166;1;M;C;50;2;32;N;95;BER;F;INJ;ES;140-150;A;1;102
329;4;M;C;50;1;50;N;50;BER;F;INJ;ES;150-160;B;3;0
121;10;M;A;26;2;28;N;95;BER;F;INJ;GO;150-160;B;3;0
284;2;M;A;42;3;55;N;80;BER;F;INJ;ES;160-170;B;3;0
522;0;M;A;42;2;69;N;57;BER;F;INJ;ES;160-170;A;3;0
103;9;M;A;50;2;26;O;95;BER;F;CAR;ES;150-160;M1;3;0
214;10;M;C;50;1;42;N;80;BER;F;CAR;ES;170-180;B;3;0
144;9;M;C;55;2;33;N;54;BER;F;INS;GO;160-170;B;3;0
120;5;M;A;1;2;28;N;95;BER;F;INJ;ES;150-160;A;3;0
129;7;M;A;1;3;28;N;76;BER;F;INJ;ES;160-170;B;1;0
311;0;M;A;1;3;49;N;51;BER;F;INJ;ES;160-170;A;3;0
320;2;M;A;50;3;46;N;60;BER;F;INJ;ES;150-160;B;2;0
26;1;M;C;26;2;21;N;156;BER;F;INJ;ES;150-160;B;3;0
253;10;M;C;50;2;40;N;125;BER;F;CAR;ES;170-180;B;3;0
90;7;M;C;50;2;28;N;95;BER;F;INJ;ES;160-170;B;3;0
355;2;M;A;1;2;51;N;50;BER;F;INJ;ES;140-150;A;1;0
112;4;M;A;1;3;27;N;118;BER;F;INJ;ES;170-180;B;3;0
412;2;M;A;1;3;54;N;50;BER;F;INJ;ES;170-180;A;3;0
104;10;M;A;50;1;29;N;95;BER;F;CAR;ES;170-180;B;3;0
200;4;M;A;50;1;35;N;85;BER;F;INJ;ES;180-190;B;3;1715
513;3;M;A;60;1;85;N;50;BER;F;INJ;ES;160-170;B;3;0
536;5;M;C;50;1;62;O;50;BER;F;INJ;ES;180-190;B;2;0
505;5;M;C;60;1;74;O;50;BER;F;INJ;ES;160-170;B;3;0
180;4;M;A;50;2;35;N;85;BER;F;INJ;ES;160-170;B;3;1383
615;5;M;A;50;2;78;N;50;BER;F;INJ;ES;160-170;B;3;0
549;7;M;A;60;1;64;N;50;BER;F;INJ;ES;150-160;B;3;124
580;3;M;A;60;1;66;N;50;BER;F;INJ;ES;160-170;B;3;0
526;1;M;A;60;1;69;N;50;BER;F;INJ;ES;160-170;B;3;0
466;2;M;A;60;1;78;N;50;BER;F;INJ;ES;160-170;B;3;0
26;5;M;C;26;2;22;N;90;BER;F;INJ;ES;160-170;B;3;0
329;10;M;C;50;2;50;O;57;BER;F;CAR;ES;150-160;M1;2;0
217;10;M;C;50;2;38;N;85;BER;F;CAR;ES;160-170;M1;3;0
154;10;M;A;37;1;32;N;106;BER;F;CAR;ES;160-170;M1;3;0
326;10;M;A;50;2;46;N;85;BER;F;CAR;ES;150-160;M2;3;0
510;10;M;A;50;3;66;N;50;BER;F;CAR;ES;150-160;B;3;0
412;4;M;A;50;2;62;N;50;BER;F;INJ;ES;160-170;B;3;0
243;10;M;A;50;2;38;N;72;BER;F;INJ;GO;150-160;B;3;0
28;10;M;C;26;2;22;N;95;BER;F;CAR;ES;160-170;B;3;0
93;10;M;C;50;2;26;N;90;BER;F;CAR;ES;150-160;M1;3;0
96;4;M;C;50;1;31;N;85;BER;F;INJ;ES;150-160;B;3;0
147;1;M;C;50;3;33;N;58;BER;F;INJ;ES;160-170;B;3;634
217;4;M;C;50;2;36;N;72;BER;F;INJ;ES;160-170;B;3;1418
309;5;M;C;50;1;46;O;50;BER;F;INJ;ES;180-190;M1;2;0
124;10;M;C;55;2;29;N;95;BER;F;CAR;ES;150-160;M2;3;0
540;1;M;C;60;1;66;N;85;BER;F;INJ;ES;160-170;B;3;0
251;10;M;A;1;3;39;N;50;BER;F;INJ;ES;150-160;M1;2;0
298;10;M;A;50;1;46;N;80;BER;F;CAR;ES;150-160;M1;3;0
385;10;M;A;50;2;51;O;50;BER;F;CAR;ES;150-160;M2;3;0
192;10;M;A;50;2;40;N;76;BER;F;CAR;ES;160-170;M1;3;0
289;10;M;A;50;1;44;N;95;BER;F;CAR;ES;170-180;M1;3;0
192;5;M;A;50;1;34;O;85;BER;F;INJ;ES;150-160;B;2;0
247;9;M;A;50;2;50;N;50;BER;F;INJ;ES;150-160;M1;3;0
443;7;M;A;55;1;55;N;50;BER;F;INJ;GO;160-170;B;1;0
462;10;M;A;60;1;61;N;69;BER;F;CAR;ES;160-170;M1;3;0
505;10;M;A;60;1;75;N;50;BER;F;INJ;ES;150-160;M1;3;0
188;2;M;C;1;2;34;N;118;BER;F;INJ;ES;160-170;B;3;0
381;10;M;C;42;1;50;O;72;BER;F;INJ;GO;150-160;B;3;0
230;9;M;C;46;2;37;N;60;BER;F;INS;GO;160-170;B;3;0
332;10;M;C;50;1;47;O;64;BER;F;INJ;ES;160-170;B;3;0
419;4;M;C;50;2;54;N;50;BER;F;INJ;ES;160-170;B;3;0
436;2;M;A;1;3;55;N;55;BER;F;INJ;ES;160-170;A;3;0
296;10;M;A;50;2;43;N;50;BER;F;CAR;ES;160-170;B;3;0
26;10;M;A;50;1;43;N;118;BER;F;CAR;ES;170-180;B;3;0
291;10;M;A;50;1;55;N;57;BER;F;CAR;ES;170-180;0;3;0
460;9;M;A;50;1;63;N;50;BER;F;INJ;ES;140-150;B;3;0
253;3;M;A;50;2;39;N;50;BER;F;INJ;ES;150-160;B;3;0
316;9;M;A;50;2;46;N;50;BER;F;INJ;ES;150-160;B;3;0
393;3;M;A;50;2;51;N;64;BER;F;INJ;ES;150-160;B;3;186
206;4;M;A;50;1;35;N;80;BER;F;INJ;ES;160-170;B;3;0
317;3;M;A;50;1;48;N;85;BER;F;INJ;ES;160-170;B;2;0
455;1;M;A;50;2;56;N;50;BER;F;INJ;ES;160-170;B;3;0
511;0;M;A;50;1;65;N;50;BER;F;INJ;ES;160-170;B;3;0
455;4;M;A;50;2;56;N;68;BER;F;INJ;ES;170-180;B;3;499
173;9;M;A;50;2;33;N;54;BER;F;INJ;GO;140-150;B;3;0
88;9;M;A;50;2;25;O;72;BER;F;INS;GO;160-170;B;3;0
415;3;M;A;55;2;55;N;50;BER;F;INJ;ES;160-170;B;3;0
650;2;M;A;60;1;75;O;50;BER;F;INJ;ES;150-160;B;1;0
335;5;M;C;1;3;47;N;51;BER;F;INJ;ES;170-180;M1;2;0
80;10;M;C;26;2;26;N;85;BER;F;INJ;ES;160-170;B;3;0
48;10;M;C;26;2;22;N;80;BER;F;INJ;ES;170-180;B;3;0
174;10;M;C;50;1;33;O;95;BER;F;CAR;ES;150-160;M1;3;0
264;10;M;C;50;1;43;O;95;BER;F;CAR;ES;150-160;B;3;0
96;5;M;C;50;1;30;N;95;BER;F;CAR;ES;160-170;B;2;0
105;7;M;C;50;2;26;N;90;BER;F;INJ;ES;150-160;B;3;0
148;10;M;C;50;1;32;N;90;BER;F;INJ;ES;150-160;B;2;0
36;2;M;C;50;2;26;N;85;BER;F;IDS;GO;160-170;B;3;0
38;7;M;C;50;2;26;N;164;BER;F;INJ;GO;150-160;B;3;0
159;4;M;C;55;2;34;N;50;BER;F;IDS;GO;160-170;B;3;0
181;10;M;C;55;2;33;N;90;BER;F;INJ;GO;150-160;B;3;0
419;10;M;C;60;1;73;O;50;BER;F;CAR;ES;160-170;B;3;0
410;10;M;A;50;2;55;N;50;BER;F;CAR;ES;150-160;M1;3;0
313;10;M;A;50;1;48;O;50;BER;F;CAR;ES;160-170;B;3;0
326;10;M;A;50;1;51;N;62;BER;F;CAR;ES;160-170;B;3;0
97;9;M;A;50;2;26;N;68;BER;F;INJ;ES;150-160;B;3;0
223;10;M;A;50;1;38;N;60;BER;F;INJ;ES;150-160;M1;3;0
334;7;M;A;50;2;55;N;72;BER;F;INJ;ES;150-160;B;3;0
96;0;M;A;50;2;33;N;90;BER;F;INJ;ES;160-170;B;3;0
427;2;M;A;50;1;61;O;60;BER;F;INJ;ES;160-170;B;3;0
18;10;M;A;50;2;28;N;95;BER;F;INJ;ES;170-180;B;3;0
212;4;M;A;50;2;45;N;72;BER;F;INJ;GO;150-160;B;3;314
311;10;M;A;50;2;51;N;118;BER;F;INJ;GO;150-160;B;3;0
705;1;M;A;55;1;83;O;50;BER;F;INJ;ES;160-170;B;3;0
569;10;M;A;60;1;74;N;50;BER;F;CAR;ES;150-160;M1;3;0
517;2;M;A;60;1;66;N;50;BER;F;INJ;ES;150-160;B;3;799
534;2;M;A;60;1;65;N;90;BER;F;INJ;ES;160-170;B;2;0
692;7;M;A;60;1;75;O;50;BER;F;INJ;ES;170-180;B;1;0
229;7;M;C;42;1;41;N;78;BER;F;INJ;GO;160-170;B;3;0
394;10;M;C;50;2;55;N;50;BER;F;CAR;ES;160-170;B;3;0
96;9;M;C;50;2;26;N;76;BER;F;INJ;ES;160-170;B;3;0
78;7;M;C;50;1;28;N;72;BER;F;INJ;ES;160-170;B;2;0
196;2;M;C;50;2;34;N;90;BER;F;INJ;ES;160-170;B;2;0
212;10;M;C;50;2;40;N;95;BER;F;INJ;ES;160-170;B;3;0
175;7;M;C;50;1;41;N;62;BER;F;INJ;ES;170-180;M1;3;0
106;10;M;C;50;2;26;N;64;BER;F;INJ;GO;150-160;B;3;0
446;1;M;A;1;2;55;N;50;BER;F;INJ;ES;150-160;B;3;0
352;7;M;A;48;1;47;N;50;BER;F;INJ;ES;160-170;B;3;0
360;10;M;A;50;1;48;N;50;BER;F;CAR;ES;170-180;B;3;0
168;10;M;A;50;2;32;O;72;BER;F;INJ;ES;150-160;B;3;0
237;5;M;A;50;2;37;O;50;BER;F;INJ;ES;150-160;B;3;0
118;10;M;A;50;2;28;N;85;BER;F;INJ;ES;160-170;B;3;0
96;7;M;A;50;2;26;N;85;BER;F;INJ;GO;150-160;B;3;0
659;10;M;A;60;1;74;O;50;BER;F;CAR;ES;170-180;B;2;0
169;10;M;C;50;2;35;N;95;BER;F;CAR;ES;150-160;M1;3;0
334;10;M;C;50;1;54;N;50;BER;F;CAR;ES;150-160;0;3;0
193;10;M;C;50;2;41;N;85;BER;F;CAR;ES;160-170;B;2;0
201;3;M;C;50;2;38;N;68;BER;F;INJ;ES;150-160;A;3;0
214;2;M;C;50;2;35;N;90;BER;F;INJ;ES;160-170;B;3;0
127;7;M;C;50;2;29;N;95;BER;F;INJ;ES;170-180;B;3;0
211;2;M;C;50;1;38;O;64;BER;F;INJ;ES;170-180;B;3;0
188;10;M;C;50;2;36;N;90;BER;F;INJ;GO;150-160;B;3;0
112;7;M;C;50;2;28;N;68;BER;F;INJ;GO;160-170;B;3;0
360;10;M;C;55;2;49;N;76;BER;F;INJ;GO;150-160;B;3;0
670;0;M;A;1;4;79;N;50;BER;F;INJ;ES;160-170;A;3;0
157;4;M;A;2;3;32;N;50;BER;F;INJ;ES;160-170;B;3;0
200;10;M;A;50;1;55;N;86;BER;F;CAR;ES;160-170;M1;3;0
135;4;M;A;50;2;29;N;95;BER;F;INJ;ES;150-160;B;3;0
221;2;M;A;50;2;38;N;95;BER;F;INJ;ES;150-160;B;3;0
119;9;M;A;50;1;28;N;100;BER;F;INJ;ES;160-170;B;3;0
189;9;M;A;50;2;36;N;60;BER;F;INJ;ES;160-170;B;3;0
90;10;M;A;50;1;49;N;85;BER;F;INJ;ES;160-170;B;2;0
312;4;M;A;50;2;51;O;50;BER;F;INJ;ES;160-170;B;2;0
434;1;M;A;50;2;58;N;57;BER;F;INJ;ES;160-170;B;3;0
146;3;M;A;50;2;31;N;72;BER;F;INJ;ES;170-180;B;3;477
134;10;M;A;50;2;36;N;64;BER;F;INJ;ES;170-180;B;3;0
218;4;M;A;50;2;36;N;54;BER;F;INJ;ES;170-180;B;3;0
402;10;M;A;55;2;56;N;63;BER;F;CAR;ES;160-170;M1;3;0
283;5;M;A;55;2;53;N;76;BER;F;INJ;ES;150-160;B;3;0
370;2;M;A;55;2;49;N;55;BER;F;INJ;ES;170-180;B;3;0
596;10;M;A;60;1;68;O;50;BER;F;CAR;ES;150-160;B;3;0
621;10;M;A;60;1;73;O;50;BER;F;INJ;ES;160-170;B;3;0
708;3;M;A;60;1;82;N;50;BER;F;INJ;ES;160-170;B;3;336
451;9;M;A;60;1;85;N;54;BER;F;INJ;ES;160-170;B;3;0
84;7;M;C;26;2;25;N;64;BER;F;INJ;ES;150-160;B;3;0
100;0;M;C;26;2;33;N;76;BER;F;INJ;ES;160-170;B;3;558
94;10;M;C;50;1;30;O;80;BER;F;CAR;ES;160-170;B;3;0
138;10;M;C;50;2;31;O;80;BER;F;CAR;ES;160-170;B;3;0
345;10;M;C;50;2;51;N;90;BER;F;CAR;ES;160-170;M1;3;0
54;10;M;C;50;2;23;N;90;BER;F;CAR;ES;170-180;B;3;0
255;9;M;C;50;2;40;O;50;BER;F;INJ;ES;140-150;A;3;387
124;4;M;C;50;2;28;N;57;BER;F;INJ;ES;150-160;B;3;0
175;7;M;C;50;3;32;N;72;BER;F;INJ;ES;150-160;B;3;89
54;3;M;C;50;2;26;N;80;BER;F;INJ;ES;160-170;B;3;0
124;7;M;C;50;1;29;O;76;BER;F;INJ;ES;160-170;B;1;0
72;7;M;C;50;2;24;N;80;BER;F;INJ;ES;170-180;B;3;0
112;2;M;C;50;2;27;O;62;BER;F;INJ;ES;170-180;B;2;0
78;4;M;C;50;2;25;N;72;BER;F;INJ;ES;180-190;B;3;336
211;10;M;C;50;2;35;N;90;BER;F;INJ;GO;150-160;B;3;0
129;10;M;C;50;1;37;O;76;BER;F;INJ;GO;150-160;M1;2;0
287;3;M;C;50;2;43;N;50;BER;F;INJ;GO;150-160;B;3;0
322;3;M;C;55;2;46;N;50;BER;F;INJ;ES;160-170;B;3;0
506;4;M;C;60;1;60;O;50;BER;F;INJ;ES;150-160;B;3;0
460;5;M;C;60;1;67;N;50;BER;F;INJ;ES;150-160;B;1;0
